"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Ammonia_Category","1",38,100,0,100,100,7303.25452529644,1.30438307271318e-13,7303.25452529644,7303.25452529644
"2","Combined","All Basins","Ammonia_Category","Total",38,100,0,100,100,7303.25452529644,1.30438307271318e-13,7303.25452529644,7303.25452529644
"3","Basin","ZONE 1","Ammonia_Category","1",11,100,0,100,100,2951.50086956522,0,2951.50086956522,2951.50086956522
"4","Basin","ZONE 1","Ammonia_Category","Total",11,100,0,100,100,2951.50086956522,0,2951.50086956522,2951.50086956522
"5","Basin","ZONE 2","Ammonia_Category","1",5,100,0,100,100,737.379,0,737.379,737.379
"6","Basin","ZONE 2","Ammonia_Category","Total",5,100,0,100,100,737.379,0,737.379,737.379
"7","Basin","ZONE 3","Ammonia_Category","1",7,100,0,100,100,1346.66517391304,6.35528743231302e-14,1346.66517391304,1346.66517391304
"8","Basin","ZONE 3","Ammonia_Category","Total",7,100,0,100,100,1346.66517391304,6.35528743231302e-14,1346.66517391304,1346.66517391304
"9","Basin","ZONE 4","Ammonia_Category","1",5,100,0,100,100,1914.22818181818,1.13686837721616e-13,1914.22818181818,1914.22818181818
"10","Basin","ZONE 4","Ammonia_Category","Total",5,100,0,100,100,1914.22818181818,1.13686837721616e-13,1914.22818181818,1914.22818181818
"11","Basin","ZONE 5","Ammonia_Category","1",5,100,0,100,100,201.3638,0,201.3638,201.3638
"12","Basin","ZONE 5","Ammonia_Category","Total",5,100,0,100,100,201.3638,0,201.3638,201.3638
"13","Basin","ZONE 6","Ammonia_Category","1",5,100,0,100,100,152.1175,7.105427357601e-15,152.1175,152.1175
"14","Basin","ZONE 6","Ammonia_Category","Total",5,100,0,100,100,152.1175,7.105427357601e-15,152.1175,152.1175
"15","Combined","All Basins","Chlorophyll_Category","[0,20]",36,91.0839216272999,5.55614980917401,80.1940681086097,100,6652.09062806324,405.779762370751,5856.77690816135,7447.40434796513
"16","Combined","All Basins","Chlorophyll_Category","(20,1e+04]",2,8.91607837270016,5.55614980917401,0,19.8059318913903,651.163897233202,405.779762370751,0,1446.47761713509
"17","Combined","All Basins","Chlorophyll_Category","Total",38,100,0,100,100,7303.25452529644,1.30438307271318e-13,7303.25452529644,7303.25452529644
"18","Basin","ZONE 1","Chlorophyll_Category","[0,20]",10,90.9090909090909,8.17629202350832,74.8838530159325,100,2683.18260869565,241.32333017204,2210.19757292919,3156.16764446212
"19","Basin","ZONE 1","Chlorophyll_Category","(20,1e+04]",1,9.09090909090909,8.17629202350832,0,25.1161469840675,268.318260869565,241.32333017204,0,741.303296636031
"20","Basin","ZONE 1","Chlorophyll_Category","Total",11,100,0,100,100,2951.50086956522,0,2951.50086956522,2951.50086956522
"21","Basin","ZONE 2","Chlorophyll_Category","[0,20]",5,100,0,100,100,737.379,0,737.379,737.379
"22","Basin","ZONE 2","Chlorophyll_Category","Total",5,100,0,100,100,737.379,0,737.379,737.379
"23","Basin","ZONE 3","Chlorophyll_Category","[0,20]",7,100,0,100,100,1346.66517391304,6.35528743231302e-14,1346.66517391304,1346.66517391304
"24","Basin","ZONE 3","Chlorophyll_Category","Total",7,100,0,100,100,1346.66517391304,6.35528743231302e-14,1346.66517391304,1346.66517391304
"25","Basin","ZONE 4","Chlorophyll_Category","[0,20]",4,80,17.0419177150435,46.5984550510196,100,1531.38254545455,326.221191623628,892.000758878496,2170.76433203059
