"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Oxygen_Dissolved_Field",0.54,1,2.63417820731951,2.22433389168855,0,6.99379252462089,192.380739130435,162.448765602447,0,510.774469044219
"2","Combined","All Basins","Oxygen_Dissolved_Field",0.69,2,3.18561400707846,2.2694626095808,0,7.6336789861171,232.653499130435,165.74463073412,0,557.507006000201
"3","Combined","All Basins","Oxygen_Dissolved_Field",0.73,3,3.60218856154074,2.29845216334318,0,8.10707202188154,263.076999130435,167.861811631134,0,592.080104307105
"4","Combined","All Basins","Oxygen_Dissolved_Field",0.84,4,7.2761432339431,4.025102724372,0,15.1651996077863,531.39526,293.963496865529,0,1107.55312662589
"5","Combined","All Basins","Oxygen_Dissolved_Field",1.64,5,9.9103214412626,4.451055594666,1.18641278253174,18.6342300999935,723.775999130435,325.071919140905,86.6467452289447,1360.90525303192
"6","Combined","All Basins","Oxygen_Dissolved_Field",1.81,6,10.4617572410216,4.46545553132623,1.70962522505698,19.2138892569861,764.048759130435,326.123583166683,124.858281614583,1403.23923664629
"7","Combined","All Basins","Oxygen_Dissolved_Field",2.16,7,14.1357119134239,4.97867090587073,4.37769624703988,23.8937275798079,1032.36702,363.605008232621,319.714299265672,1745.01974073433
"8","Combined","All Basins","Oxygen_Dissolved_Field",2.28,8,19.3778356137217,6.64013384504704,6.36341242490406,32.3922588025394,1415.21265636364,484.945875524138,464.736205885081,2365.68910684219
"9","Combined","All Basins","Oxygen_Dissolved_Field",2.38,9,24.6199593140195,7.15314240484523,10.6000578242366,38.6398608038024,1798.05829272727,522.412196382758,774.149202732601,2821.96738272194
"10","Combined","All Basins","Oxygen_Dissolved_Field",2.51,10,26.639275489968,7.36494268355802,12.2042530819925,41.0742978979435,1945.53409272727,537.880509822441,891.307665489247,2999.7605199653
"11","Combined","All Basins","Oxygen_Dissolved_Field",2.62,11,27.0558500444303,7.36996579960916,12.6109825099044,41.5007175789562,1975.95759272727,538.247360772756,921.012150838934,3030.90303461561
"12","Combined","All Basins","Oxygen_Dissolved_Field",2.92,12,27.4724245988925,7.36912606865257,13.0292029067983,41.9156462909868,2006.38109272727,538.186033083669,951.5558509008,3061.20633455375
"13","Combined","All Basins","Oxygen_Dissolved_Field",3,13,32.7145482991903,7.43929242797801,18.1338030698919,47.2952935284888,2389.22672909091,543.31046089634,1324.35779331023,3454.09566487159
"14","Combined","All Basins","Oxygen_Dissolved_Field",3.16,14,33.1311228536526,7.43537459367418,18.5580564384871,47.7041892688181,2419.65022909091,543.024331485252,1355.34209665088,3483.95836153094
"15","Combined","All Basins","Oxygen_Dissolved_Field",3.22,15,36.805077526055,7.66370453539026,21.7844926485338,51.8256624035761,2687.96848996047,559.699848286238,1590.97694516692,3784.96003475403
"16","Combined","All Basins","Oxygen_Dissolved_Field",3.49,16,37.2216520805173,7.65484053341315,22.2184403276301,52.2248638334044,2718.39198996047,559.052487660722,1622.66924867794,3814.11473124301
"17","Combined","All Basins","Oxygen_Dissolved_Field",3.64,17,39.8558302878368,7.60023805827343,24.9596374196902,54.7520231559833,2910.77272909091,555.064729924156,1822.86584935111,3998.67960883071
"18","Combined","All Basins","Oxygen_Dissolved_Field",3.77,18,45.0979539881346,7.14745273323045,31.0892040498005,59.1067039264686,3293.61836545454,521.996665183077,2270.5237016457,4316.71302926339
"19","Combined","All Basins","Oxygen_Dissolved_Field",3.87,19,45.6493897878935,7.14904735398565,31.6375144503103,59.6612651254768,3333.89112545454,522.113124395542,2310.5682057836,4357.21404512549
"20","Combined","All Basins","Oxygen_Dissolved_Field",3.99,20,48.283567995213,7.33818856911728,33.9009826879796,62.6661533024464,3526.27186458498,535.926588748844,2475.87505227984,4576.66867689012
"21","Combined","All Basins","Oxygen_Dissolved_Field",4.09,21,50.9177462025325,7.03681922482144,37.1258339561635,64.7096584489016,3718.65260371541,513.916818473702,2711.39414845755,4725.91105897328
"22","Combined","All Basins","Oxygen_Dissolved_Field",4.15,22,51.4691820022915,7.02795402242301,37.694645233339,65.243718771244,3758.92536371541,513.269370178362,2752.93588379827,4764.91484363256
"23","Combined","All Basins","Oxygen_Dissolved_Field",4.28,23,53.48849817824,7.145918594939,39.4827550957045,67.4942412607755,3906.40116371541,521.884623158882,2883.52609823875,4929.27622919208
"24","Combined","All Basins","Oxygen_Dissolved_Field",4.91,24,58.7306218785378,5.50657383913554,47.9379354756216,69.5233082814539,4289.24680007905,402.159103095456,3501.02944195703,5077.46415820108
"25","Combined","All Basins","Oxygen_Dissolved_Field",5.05,25,60.7499380544862,5.47874512074811,50.0117949373454,71.4880811716271,4436.72260007905,400.126700960494,3652.48867694365,5220.95652321445
"26","Combined","All Basins","Oxygen_Dissolved_Field",5.2,26,61.3013738542452,5.45777804549295,50.6043254494656,71.9984222590248,4476.99536007905,398.595422088099,3695.76268838384,5258.22803177427
"27","Combined","All Basins","Oxygen_Dissolved_Field",5.23,27,63.3206900301937,5.3437909894311,52.8470521499991,73.7943279103883,4624.47116007905,390.27065725801,3859.55472763058,5389.38759252753
"28","Combined","All Basins","Oxygen_Dissolved_Field",5.74,28,66.994644702596,5.52388125033267,56.1680363970679,77.8212530081241,4892.78942094862,403.423107386922,4102.09465993901,5683.48418195822
"29","Combined","All Basins","Oxygen_Dissolved_Field",6.24,29,69.6288229099155,5.42134194426495,59.0031879512799,80.2544578685512,5085.17016007905,395.934400876324,4309.15299412101,5861.18732603709
"30","Combined","All Basins","Oxygen_Dissolved_Field",6.86,30,71.648139085864,5.11673192450161,61.6195287952945,81.6767493764335,5232.64596007905,373.687955823452,4500.23102520869,5965.06089494941
"31","Combined","All Basins","Oxygen_Dissolved_Field",6.99,31,75.3220937582663,4.26366808904845,66.9654578616987,83.678729654834,5500.96422094862,311.386532657051,4890.65783166999,6111.27061022724
"32","Combined","All Basins","Oxygen_Dissolved_Field",7.21,32,78.9960484306687,4.4167075834127,70.3394606369349,87.6526362244025,5769.28248181818,322.563396454699,5137.06984203606,6401.49512160031
"33","Combined","All Basins","Oxygen_Dissolved_Field",7.22,33,81.6302266379882,3.80743149091359,74.167798042194,89.0926552337825,5961.66322094862,278.066412657708,5416.66306682926,6506.66337506798
"34","Combined","All Basins","Oxygen_Dissolved_Field",7.31,34,85.3041813103906,4.77980570054689,75.9359342842194,94.6724283365617,6229.98148181818,349.081376125568,5545.79455693839,6914.16840669798
"35","Combined","All Basins","Oxygen_Dissolved_Field",7.48,35,88.9781359827929,4.80314928044472,79.5641363807518,98.3921355848341,6498.29974268775,350.786217180823,5810.77139074029,7185.82809463521
"36","Combined","All Basins","Oxygen_Dissolved_Field",8.33,36,92.6520906551953,4.47777660829494,83.8758097721213,100,6766.61800355731,327.023422777966,6125.66387281148,7407.57213430314
"37","Combined","All Basins","Oxygen_Dissolved_Field",8.41,37,96.3260453275977,3.29963360354007,89.858882302481,100,7034.93626442688,240.980640468742,6562.62288813675,7507.24964071701
"38","Combined","All Basins","Oxygen_Dissolved_Field",8.56,38,100,0,100,100,7303.25452529644,1.30438307271318e-13,7303.25452529644,7303.25452529644
"39","Basin","ZONE 1","Oxygen_Dissolved_Field",0.54,0,0,0,0,0,0,0,0,0
"40","Basin","ZONE 1","Oxygen_Dissolved_Field",0.69,0,0,0,0,0,0,0,0,0
"41","Basin","ZONE 1","Oxygen_Dissolved_Field",0.73,0,0,0,0,0,0,0,0,0
"42","Basin","ZONE 1","Oxygen_Dissolved_Field",0.84,1,9.09090909090909,8.17629202350832,0,25.1161469840675,268.318260869565,241.32333017204,0,741.303296636031
"43","Basin","ZONE 1","Oxygen_Dissolved_Field",1.64,1,9.09090909090909,8.17629202350832,0,25.1161469840675,268.318260869565,241.32333017204,0,741.303296636031
"44","Basin","ZONE 1","Oxygen_Dissolved_Field",1.81,1,9.09090909090909,8.17629202350832,0,25.1161469840675,268.318260869565,241.32333017204,0,741.303296636031
"45","Basin","ZONE 1","Oxygen_Dissolved_Field",2.16,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"46","Basin","ZONE 1","Oxygen_Dissolved_Field",2.28,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"47","Basin","ZONE 1","Oxygen_Dissolved_Field",2.38,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"48","Basin","ZONE 1","Oxygen_Dissolved_Field",2.51,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"49","Basin","ZONE 1","Oxygen_Dissolved_Field",2.62,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"50","Basin","ZONE 1","Oxygen_Dissolved_Field",2.92,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"51","Basin","ZONE 1","Oxygen_Dissolved_Field",3,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"52","Basin","ZONE 1","Oxygen_Dissolved_Field",3.16,2,18.1818181818182,9.82486463842922,0,37.4381990261206,536.63652173913,289.980965236844,0,1104.98876980551
"53","Basin","ZONE 1","Oxygen_Dissolved_Field",3.22,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"54","Basin","ZONE 1","Oxygen_Dissolved_Field",3.49,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"55","Basin","ZONE 1","Oxygen_Dissolved_Field",3.64,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"56","Basin","ZONE 1","Oxygen_Dissolved_Field",3.77,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"57","Basin","ZONE 1","Oxygen_Dissolved_Field",3.87,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"58","Basin","ZONE 1","Oxygen_Dissolved_Field",3.99,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"59","Basin","ZONE 1","Oxygen_Dissolved_Field",4.09,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"60","Basin","ZONE 1","Oxygen_Dissolved_Field",4.15,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"61","Basin","ZONE 1","Oxygen_Dissolved_Field",4.28,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"62","Basin","ZONE 1","Oxygen_Dissolved_Field",4.91,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"63","Basin","ZONE 1","Oxygen_Dissolved_Field",5.05,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"64","Basin","ZONE 1","Oxygen_Dissolved_Field",5.2,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"65","Basin","ZONE 1","Oxygen_Dissolved_Field",5.23,3,27.2727272727273,10.8460412493814,6.01487704910397,48.5305774963506,804.954782608696,320.121001788893,177.529148407583,1432.38041680981
"66","Basin","ZONE 1","Oxygen_Dissolved_Field",5.74,4,36.3636363636364,11.3850708470931,14.049307541897,58.6779651853757,1073.27304347826,336.030465052569,414.665434266981,1731.88065268954
"67","Basin","ZONE 1","Oxygen_Dissolved_Field",6.24,4,36.3636363636364,11.3850708470931,14.049307541897,58.6779651853757,1073.27304347826,336.030465052569,414.665434266981,1731.88065268954
"68","Basin","ZONE 1","Oxygen_Dissolved_Field",6.86,4,36.3636363636364,11.3850708470931,14.049307541897,58.6779651853757,1073.27304347826,336.030465052569,414.665434266981,1731.88065268954
"69","Basin","ZONE 1","Oxygen_Dissolved_Field",6.99,5,45.4545454545455,8.97914498685132,27.8557446683535,63.0533462407374,1341.59130434783,265.019542366438,822.16254611032,1861.02006258533
"70","Basin","ZONE 1","Oxygen_Dissolved_Field",7.21,6,54.5454545454546,9.42118687902234,36.0802675709495,73.0106415199596,1609.90956521739,278.066412657708,1064.90941109803,2154.90971933675
"71","Basin","ZONE 1","Oxygen_Dissolved_Field",7.22,6,54.5454545454546,9.42118687902234,36.0802675709495,73.0106415199596,1609.90956521739,278.066412657708,1064.90941109803,2154.90971933675
