"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"1","Combined","All Basins","Oxygen_Dissolved_Field","5Pct",3,0.771851158204404,"",0.54,1.51686847312145
"2","Combined","All Basins","Oxygen_Dissolved_Field","10Pct",5,1.66764665441022,"",0.54,2.26503064042643
"3","Combined","All Basins","Oxygen_Dissolved_Field","25Pct",9,2.40446634646219,"",1.85937988091721,3.59239907483872
"4","Combined","All Basins","Oxygen_Dissolved_Field","50Pct",20,4.05516005637043,"",3.20060406936085,5.37740698772316
"5","Combined","All Basins","Oxygen_Dissolved_Field","75Pct",30,6.97860296538519,"",5.45914186795351,7.30324940180395
"6","Combined","All Basins","Oxygen_Dissolved_Field","90Pct",35,7.71641674763996,"",7.21603585574762,8.53607481106011
"7","Combined","All Basins","Oxygen_Dissolved_Field","95Pct",36,8.38112549400659,"",7.35254854538225,8.56
"8","Combined","All Basins","Oxygen_Dissolved_Field","Mean",38,4.63499864168094,"0.297536149959527",4.05183850366156,5.21815877970032
"9","Combined","All Basins","Oxygen_Dissolved_Field","Variance",38,4.10981823732469,"0.900628949514172",2.34461793284277,5.87501854180661
"10","Combined","All Basins","Oxygen_Dissolved_Field","Std. Deviation",38,1.9084966016243,"0.188431264253718",1.53917811012566,2.27781509312294
"11","Basin","ZONE 1","Oxygen_Dissolved_Field","5Pct",0,0.7905,"",0.7905,0.7905
"12","Basin","ZONE 1","Oxygen_Dissolved_Field","10Pct",1,1.845,"",0.54,3.21176657009485
"13","Basin","ZONE 1","Oxygen_Dissolved_Field","25Pct",2,3.205,"",0.799497791783941,6.97286624607352
"14","Basin","ZONE 1","Oxygen_Dissolved_Field","50Pct",5,7.1,"",5.51770727589463,7.38409757470179
"15","Basin","ZONE 1","Oxygen_Dissolved_Field","75Pct",8,7.6925,"",7.14128049414807,8.53185420853541
"16","Basin","ZONE 1","Oxygen_Dissolved_Field","90Pct",9,8.402,"",7.39690687061825,8.56
"17","Basin","ZONE 1","Oxygen_Dissolved_Field","95Pct",10,8.4775,"",8.06626799348081,8.56
"18","Basin","ZONE 1","Oxygen_Dissolved_Field","Mean",11,6.02272727272727,"0.59711256155397",4.85240815736504,7.19304638808951
"19","Basin","ZONE 1","Oxygen_Dissolved_Field","Variance",11,6.66389256198347,"2.05597399416426",2.63425758027055,10.6935275436964
"20","Basin","ZONE 1","Oxygen_Dissolved_Field","Std. Deviation",11,2.58145163851339,"0.398220513506939",1.80095377413474,3.36194950289204
"21","Basin","ZONE 2","Oxygen_Dissolved_Field","5Pct",0,2.4125,"",2.4125,2.4125
"22","Basin","ZONE 2","Oxygen_Dissolved_Field","10Pct",0,2.445,"",2.445,2.445
"23","Basin","ZONE 2","Oxygen_Dissolved_Field","25Pct",1,4.1825,"",0.54,5.04328117597859
"24","Basin","ZONE 2","Oxygen_Dissolved_Field","50Pct",2,4.98,"",2.43008754550754,6.6211209368102
"25","Basin","ZONE 2","Oxygen_Dissolved_Field","75Pct",3,5.2225,"",4.24158714342632,6.86
"26","Basin","ZONE 2","Oxygen_Dissolved_Field","90Pct",4,6.55,"",5.01654173981662,6.86
"27","Basin","ZONE 2","Oxygen_Dissolved_Field","95Pct",4,6.705,"",5.20033037281785,6.86
"28","Basin","ZONE 2","Oxygen_Dissolved_Field","Mean",5,4.786,"0.625016809120823",3.56098956439104,6.01101043560896
"29","Basin","ZONE 2","Oxygen_Dissolved_Field","Variance",5,2.000904,"0.994393383298311",0.0519287822703776,3.94987921772962
"30","Basin","ZONE 2","Oxygen_Dissolved_Field","Std. Deviation",5,1.41453313853017,"0.351491724093357",0.725622018443296,2.10344425861704
"31","Basin","ZONE 3","Oxygen_Dissolved_Field","5Pct",1,0.54,"",0.54,3.49075281212111
"32","Basin","ZONE 3","Oxygen_Dissolved_Field","10Pct",1,0.54,"",0.54,3.54325281212111
"33","Basin","ZONE 3","Oxygen_Dissolved_Field","25Pct",1,1.44,"",0.54,3.91860224969689
"34","Basin","ZONE 3","Oxygen_Dissolved_Field","50Pct",3,3.93,"",1.18557871122329,6.02401330548544
"35","Basin","ZONE 3","Oxygen_Dissolved_Field","75Pct",5,5.865,"",3.91888217996178,7.22
"36","Basin","ZONE 3","Oxygen_Dissolved_Field","90Pct",6,7.213,"",4.05344593759237,7.22
"37","Basin","ZONE 3","Oxygen_Dissolved_Field","95Pct",6,7.2165,"",4.08844593759237,7.22
"38","Basin","ZONE 3","Oxygen_Dissolved_Field","Mean",7,3.90857142857143,"0.65960335444085",2.61577260978556,5.2013702473573
"39","Basin","ZONE 3","Oxygen_Dissolved_Field","Variance",7,4.71521224489796,"1.7010795467436",1.38115759844279,8.04926689135313
"40","Basin","ZONE 3","Oxygen_Dissolved_Field","Std. Deviation",7,2.17145394722015,"0.391691370871873",1.40375296725616,2.93915492718414
"41","Basin","ZONE 4","Oxygen_Dissolved_Field","5Pct",0,2.19,"",2.19,2.19
"42","Basin","ZONE 4","Oxygen_Dissolved_Field","10Pct",0,2.22,"",2.22,2.22
"43","Basin","ZONE 4","Oxygen_Dissolved_Field","25Pct",1,2.305,"",0.54,2.99141860989184
"44","Basin","ZONE 4","Oxygen_Dissolved_Field","50Pct",2,2.96,"",2.2295579175041,4.54482093310349
"45","Basin","ZONE 4","Oxygen_Dissolved_Field","75Pct",3,3.7375,"",2.35921956658258,4.91
"46","Basin","ZONE 4","Oxygen_Dissolved_Field","90Pct",4,4.595,"",2.98377588219138,4.91
"47","Basin","ZONE 4","Oxygen_Dissolved_Field","95Pct",4,4.7525,"",3.64613580856099,4.91
"48","Basin","ZONE 4","Oxygen_Dissolved_Field","Mean",5,3.268,"0.401166845023732",2.48172743196193,4.05427256803808
"49","Basin","ZONE 4","Oxygen_Dissolved_Field","Variance",5,0.956936,"0.41225656435137",0.148927981481097,1.7649440185189
"50","Basin","ZONE 4","Oxygen_Dissolved_Field","Std. Deviation",5,0.978231056550547,"0.210715332329089",0.565236594195144,1.39122551890595
"51","Basin","ZONE 5","Oxygen_Dissolved_Field","5Pct",0,0.5775,"",0.5775,0.5775
"52","Basin","ZONE 5","Oxygen_Dissolved_Field","10Pct",0,0.615,"",0.615,0.615
"53","Basin","ZONE 5","Oxygen_Dissolved_Field","25Pct",1,1.6825,"",0.54,3.8550612971335
"54","Basin","ZONE 5","Oxygen_Dissolved_Field","50Pct",2,3.82,"",0.608177473184215,5.13182252681579
"55","Basin","ZONE 5","Oxygen_Dissolved_Field","75Pct",3,4.135,"",1.7479990979714,5.2
"56","Basin","ZONE 5","Oxygen_Dissolved_Field","90Pct",4,5.125,"",3.8497991600153,5.2
"57","Basin","ZONE 5","Oxygen_Dissolved_Field","95Pct",4,5.1625,"",4.09287949600918,5.2
"58","Basin","ZONE 5","Oxygen_Dissolved_Field","Mean",5,3.144,"0.712224293582762",1.7480660356633,4.5399339643367
"59","Basin","ZONE 5","Oxygen_Dissolved_Field","Variance",5,2.713584,"0.788240521253534",1.168660967188,4.25850703281201
"60","Basin","ZONE 5","Oxygen_Dissolved_Field","Std. Deviation",5,1.64729596612145,"0.239252853605124",1.17836898985697,2.11622294238593
"61","Basin","ZONE 6","Oxygen_Dissolved_Field","5Pct",0,0.7,"",0.7,0.7
"62","Basin","ZONE 6","Oxygen_Dissolved_Field","10Pct",0,0.71,"",0.71,0.71
"63","Basin","ZONE 6","Oxygen_Dissolved_Field","25Pct",1,2.5375,"",0.54,2.90863708022595
"64","Basin","ZONE 6","Oxygen_Dissolved_Field","50Pct",2,2.77,"",0.704491541382559,3.39218209566773
"65","Basin","ZONE 6","Oxygen_Dissolved_Field","75Pct",3,3.12,"",2.58450981187642,3.49
"66","Basin","ZONE 6","Oxygen_Dissolved_Field","90Pct",4,3.355,"",2.84988391043825,3.49
"67","Basin","ZONE 6","Oxygen_Dissolved_Field","95Pct",4,3.4225,"",3.00260475223373,3.49
"68","Basin","ZONE 6","Oxygen_Dissolved_Field","Mean",5,2.584,"0.42493419869053",1.75114427476717,3.41685572523283
"69","Basin","ZONE 6","Oxygen_Dissolved_Field","Variance",5,0.940824,"0.563327282275897",0,2.04492518476959
"70","Basin","ZONE 6","Oxygen_Dissolved_Field","Std. Deviation",5,0.969960823951153,"0.290386615812571",0.400813515366045,1.53910813253626
"71","Combined","All Basins","pH_Field","5Pct",1,3.791358325236,"",3.73,3.93914773747182
"72","Combined","All Basins","pH_Field","10Pct",2,3.92887450599341,"",3.73,4.21784289404669
"73","Combined","All Basins","pH_Field","25Pct",8,4.79780707769633,"",3.99441223881244,5.63636947338033
"74","Combined","All Basins","pH_Field","50Pct",15,5.99190110361098,"",5.70572270654692,6.19756271776808
"75","Combined","All Basins","pH_Field","75Pct",27,6.90760467265006,"",6.27665140004278,7.49206196018869
"76","Combined","All Basins","pH_Field","90Pct",36,7.57156928426844,"",7.09028653555262,8.44
"77","Combined","All Basins","pH_Field","95Pct",37,8.00124652307054,"",7.48403706347167,8.44
"78","Combined","All Basins","pH_Field","Mean",38,5.94639468018699,"0.166327888691986",5.62039800872611,6.27239135164787
"79","Combined","All Basins","pH_Field","Variance",38,0.840925395088312,"0.124172269654782",0.597552218686344,1.08429857149028
"80","Combined","All Basins","pH_Field","Std. Deviation",38,0.895159549920757,"0.0642769768197765",0.769178990318879,1.02114010952263
"81","Basin","ZONE 1","pH_Field","5Pct",1,3.73,"",3.73,3.90671048447511
"82","Basin","ZONE 1","pH_Field","10Pct",1,3.747,"",3.73,3.92871048447511
"83","Basin","ZONE 1","pH_Field","25Pct",2,3.93,"",3.73,4.2264298355509
"84","Basin","ZONE 1","pH_Field","50Pct",5,4.305,"",3.91582871926207,5.6464710220293
"85","Basin","ZONE 1","pH_Field","75Pct",8,5.6075,"",4.29038765227128,6.73
"86","Basin","ZONE 1","pH_Field","90Pct",9,6.393,"",5.46756744158147,6.73
"87","Basin","ZONE 1","pH_Field","95Pct",10,6.598,"",5.67070148311003,6.73
"88","Basin","ZONE 1","pH_Field","Mean",11,4.89818181818182,"0.292779717524862",4.32434411642928,5.47201951993436
