"","siteID","xcoord","ycoord","mdcaty","wgt","stratum","panel","EvalStatus","EvalReason","gnis_name","reachcode","c3_zone","length_km","resource","streamcode","comment202","shape_leng","basin_name"
"1","FLSS21001-001",415627.215375024,728365.011416144,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","","03110103000240","Zone 1",1.90977120388,"Stream","15-03110103000240","",1909.77120388,"Zone 1"
"2","FLSS21001-002",207130.068940026,726630.354118219,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","","03140102000447","Zone 1",3.57830640544,"Stream","1964-03140102000447","",3578.30640544,"Zone 1"
"3","FLSS21001-003",335174.0183389,688894.500752626,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Mill Creek","03120003000958","Zone 1",2.51274460112,"Stream","6194-03120003000958","",2512.74460112,"Zone 1"
"4","FLSS21001-004",130869.943605239,739352.336515204,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","","03140103002355","Zone 1",1.14331817658,"Stream","2402-03140103002355","",1143.31817658,"Zone 1"
"5","FLSS21001-005",233991.360016948,749687.8696195,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Gum Creek","03140203002649","Zone 1",2.18795069307,"Stream","5423-03140203002649","",2187.95069307,"Zone 1"
"6","FLSS21001-006",281640.777419348,693253.89374408,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Dunham Branch","03130012000322","Zone 1",4.85105013347,"Stream","5047-03130012000322","",4851.05013347,"Zone 1"
"7","FLSS21001-007",321461.820632396,741199.891031452,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","","03130011000633","Zone 1",1.83854093085,"Stream","900-03130011000633","",1838.54093085,"Zone 1"
"8","FLSS21001-008",141064.799659738,776150.682543484,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Oak Creek","03140104000418","Zone 1",2.14281365105,"Stream","6416-03140104000418","",2142.81365105,"Zone 1"
"9","FLSS21001-009",202087.782308795,772555.678523931,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Dry Branch","03140202002285","Zone 1",0.322504997173,"Stream","5008-03140202002285","",322.504997173,"Zone 1"
"10","FLSS21001-010",303475.117887044,648102.47560809,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Caesar Creek","03130011000898","Zone 1",5.80792988028,"Stream","4504-03130011000898","",5807.92988028,"Zone 1"
"11","FLSS21001-011",360910.494912063,724185.585171167,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Hog Creek","03120003004618","Zone 1",2.16570105691,"Stream","5518-03120003004618","",2165.70105691,"Zone 1"
"12","FLSS21001-012",92251.4308490654,735930.466611723,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Simpson River","03140305003974","Zone 1",2.2438092132,"Stream","7212-03140305003974","",2243.8092132,"Zone 1"
"13","FLSS21001-013",240616.593387951,775943.470973508,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Tenmile Creek","03140203011025","Zone 1",3.12123332249,"Stream","7487-03140203011025","",3121.23332249,"Zone 1"
"14","FLSS21001-014",299034.625087154,718509.693396313,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","Simmons Creek","03130011002066","Zone 1",2.71641567648,"Stream","7208-03130011002066","",2716.41567648,"Zone 1"
"15","FLSS21001-015",102055.218090682,778916.202914684,"Equal",821947.177464965,"Zone 1","Base","NotEval"," ","","03140304000467","Zone 1",0.943309023893,"Stream","3595-03140304000467","",943.309023893,"Zone 1"
"16","FLSS21001-016",64617.9171810492,765366.689639595,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","West Fork Boggy Creek","03140106000270","Zone 1",1.38730037745,"Stream","109390-03140106000270","",1387.30037745,"Zone 1"
"17","FLSS21001-017",410533.104281473,721411.692856847,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03110103000248","Zone 1",3.26654586636,"Stream","8861-03110103000248","",3266.54586636,"Zone 1"
"18","FLSS21001-018",191125.347025013,729522.193766542,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Alaqua Creek","03140102000058","Zone 1",3.06238995506,"Stream","3763-03140102000058","",3062.38995506,"Zone 1"
"19","FLSS21001-019",318949.757824297,708410.398222431,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Double Branch","03120003000449","Zone 1",2.96021466233,"Stream","4972-03120003000449","",2960.21466233,"Zone 1"
"20","FLSS21001-020",173159.69889315,756517.647452661,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Wolf Branch","03140103000856","Zone 1",1.61698134056,"Stream","7829-03140103000856","",1616.98134056,"Zone 1"
"21","FLSS21001-021",225602.892033574,746697.233967557,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Gum Creek","03140203002569","Zone 1",6.34610431103,"Stream","5422-03140203002569","",6346.10431103,"Zone 1"
"22","FLSS21001-022",261425.31481547,719495.467850149,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bear Creek","03140101000082","Zone 1",5.38086754132,"Stream","3999-03140101000082","",5380.86754132,"Zone 1"
"23","FLSS21001-023",352777.965016875,739851.085567771,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003000707","Zone 1",3.45833637324,"Stream","439-03120003000707","",3458.33637324,"Zone 1"
"24","FLSS21001-024",153286.482637066,760750.285258064,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Silver Creek","03140103000607","Zone 1",3.33204748487,"Stream","7201-03140103000607","",3332.04748487,"Zone 1"
"25","FLSS21001-025",246861.571575136,742487.141436178,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Flat Creek","03140203000052","Zone 1",1.38683916391,"Stream","8297-03140203000052","Updated by Andy Roach 10-2-17.",1386.83916391,"Zone 1"
"26","FLSS21001-026",336624.070728289,667300.409675311,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Pine Log Creek","03130013000085","Zone 1",1.25228651136,"Stream","6669-03130013000085","",1252.28651136,"Zone 1"
"27","FLSS21001-027",252127.205622974,685014.333114923,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Boggy Creek","03140101001032","Zone 1",5.13419937132,"Stream","107936-03140101001032","",5134.19937132,"Zone 1"
"28","FLSS21001-028",119230.019381444,730699.044777387,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Weaver Creek","03140103000635","Zone 1",1.79978302288,"Stream","7675-03140103000635","",1799.78302288,"Zone 1"
"29","FLSS21001-029",277093.489103323,741760.604595287,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130012000737","Zone 1",2.39071018829,"Stream","1259-03130012000737","",2390.71018829,"Zone 1"
"30","FLSS21001-030",288374.414410299,730194.638247497,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Ring Jaw Branch","03130012000407","Zone 1",1.92246624111,"Stream","6914-03130012000407","",1922.46624111,"Zone 1"
"31","FLSS21001-031",131024.164973548,775563.083001602,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000816","Zone 1",2.36729362115,"Stream","2644-03140104000816","",2367.29362115,"Zone 1"
"32","FLSS21001-032",79339.6510816606,777043.758554438,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140305000421","Zone 1",3.14274520482,"Stream","3663-03140305000421","",3142.74520482,"Zone 1"
"33","FLSS21001-033",392969.22697564,728083.927384651,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120001000361","Zone 1",4.65125274084,"Stream","97-03120001000361","",4651.25274084,"Zone 1"
"34","FLSS21001-034",189442.778736132,723490.701650801,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Goodwin Creek","03140102000438","Zone 1",3.71758078187,"Stream","5354-03140102000438","",3717.58078187,"Zone 1"
"35","FLSS21001-035",288663.590705276,711852.517854897,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Wildcat Creek","03130012000287","Zone 1",1.97411606685,"Stream","7790-03130012000287","",1974.11606685,"Zone 1"
"36","FLSS21001-036",172496.119766553,737428.740624409,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Dogwood Head Branch","03140102000317","Zone 1",2.52192320414,"Stream","4970-03140102000317","",2521.92320414,"Zone 1"
"37","FLSS21001-037",212411.917988882,749569.880330547,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Cow Branch","03140203002380","Zone 1",1.5646066665,"Stream","4835-03140203002380","",1564.6066665,"Zone 1"
"38","FLSS21001-038",244976.220042694,703129.391289246,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140101000382","Zone 1",2.52281684424,"Stream","1685-03140101000382","",2522.81684424,"Zone 1"
"39","FLSS21001-039",366598.026197912,735037.311345409,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003000887","Zone 1",4.33888927455,"Stream","567-03120003000887","",4338.88927455,"Zone 1"
"40","FLSS21001-040",140682.009497439,760865.082978871,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Red Wash Branch","03140104000384","Zone 1",0.686420764798,"Stream","6870-03140104000384","",686.420764798,"Zone 1"
"41","FLSS21001-041",256102.225395534,738120.271455053,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Hard Labor Creek","03140203011152","Zone 1",2.24417930857,"Stream","106920-03140203011152","",2244.17930857,"Zone 1"
"42","FLSS21001-042",298692.218155343,677146.28722866,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130011000873","Zone 1",1.98773239822,"Stream","989-03130011000873","",1987.73239822,"Zone 1"
"43","FLSS21001-043",287282.356328358,676841.847380526,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Whites River","03130012000836","Zone 1",1.55478090827,"Stream","7779-03130012000836","",1554.78090827,"Zone 1"
"44","FLSS21001-044",186851.521976975,724851.985110987,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140102000354","Zone 1",2.06651792608,"Stream","1917-03140102000354","",2066.51792608,"Zone 1"
"45","FLSS21001-045",201107.891947355,707142.822009066,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Roaring Creek","03140203000645","Zone 1",3.91334887066,"Stream","6922-03140203000645","",3913.34887066,"Zone 1"
"46","FLSS21001-046",314653.949643182,715462.447627408,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Telogia Creek","03120003000202","Zone 1",0.898112086395,"Stream","7428-03120003000202","",898.112086395,"Zone 1"
"47","FLSS21001-047",137449.425646031,766126.55752649,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000527","Zone 1",4.23077176344,"Stream","2521-03140104000527","",4230.77176344,"Zone 1"
"48","FLSS21001-048",69234.8172605888,756504.457115322,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140106000466","Zone 1",3.71279630513,"Stream","2759-03140106000466","",3712.79630513,"Zone 1"
"49","FLSS21001-049",224175.47788611,764685.932569957,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Sikes Creek","03140203000394","Zone 1",3.33929291803,"Stream","7193-03140203000394","",3339.29291803,"Zone 1"
"50","FLSS21001-050",269184.770308849,722839.574151793,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Fourmile Creek","03130012007044","Zone 1",8.32782146182,"Stream","5310-03130012007044","",8327.82146182,"Zone 1"
"51","FLSS21001-051",309444.558064493,748931.520918412,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130004000467","Zone 1",0.850025970083,"Stream","791-03130004000467","",850.025970083,"Zone 1"
"52","FLSS21001-052",144906.405296065,770155.849117596,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Panther Creek","03140104001466","Zone 1",1.10501794949,"Stream","6561-03140104001466","",1105.01794949,"Zone 1"
"53","FLSS21001-053",203375.296216886,756652.630942236,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Sandy Creek","03140203000786","Zone 1",2.05990821938,"Stream","7084-03140203000786","",2059.90821938,"Zone 1"
"54","FLSS21001-054",251118.730049687,694849.477201202,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Dry Branch","03140101001019","Zone 1",0.822689280507,"Stream","8136-03140101001019","",822.689280507,"Zone 1"
"55","FLSS21001-055",362517.889580107,727275.280025897,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003002941","Zone 1",2.36658263909,"Stream","707-03120003002941","",2366.58263909,"Zone 1"
"56","FLSS21001-056",172987.579393157,772903.741807638,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140103000923","Zone 1",0.107398140522,"Stream","2187-03140103000923","",107.398140522,"Zone 1"
"57","FLSS21001-057",279247.640328245,770066.381124819,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Cowarts Creek","03130012000071","Zone 1",5.64523904102,"Stream","4843-03130012000071","",5645.23904102,"Zone 1"
"58","FLSS21001-058",339048.985026552,657582.386773233,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Crooked River","03130013000011","Zone 1",1.66552918555,"Stream","4885-03130013000011","",1665.52918555,"Zone 1"
"59","FLSS21001-059",96375.0145210269,757150.992871039,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000346","Zone 1",2.60903852701,"Stream","2447-03140104000346","",2609.03852701,"Zone 1"
"60","FLSS21001-060",160939.332670683,731989.268265211,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Long Branch","03140102000281","Zone 1",3.1600078737,"Stream","6027-03140102000281","",3160.0078737,"Zone 1"
"61","FLSS21001-061",222751.377666255,726580.156276802,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Mill Branch","03140203011180","Zone 1",0.302930438633,"Stream","6187-03140203011180","",302.930438633,"Zone 1"
"62","FLSS21001-062",333909.454131145,721683.458447916,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003000574","Zone 1",3.3848678217,"Stream","401-03120003000574","",3384.8678217,"Zone 1"
"63","FLSS21001-063",118703.541278537,748425.607900744,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000793","Zone 1",2.12749143577,"Stream","2640-03140104000793","",2127.49143577,"Zone 1"
"64","FLSS21001-064",84501.5404178508,758216.681789925,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bell Creek","03140305000254","Zone 1",2.17033911049,"Stream","4046-03140305000254","",2170.33911049,"Zone 1"
"65","FLSS21001-065",208409.955616768,735187.50077765,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bruce Creek","03140203000219","Zone 1",1.58969466906,"Stream","4397-03140203000219","",1589.69466906,"Zone 1"
"66","FLSS21001-066",187717.340334804,754131.544980423,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140103000811","Zone 1",3.24288886693,"Stream","2100-03140103000811","",3242.88886693,"Zone 1"
"67","FLSS21001-067",286779.528562295,704234.921440236,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130012010494","Zone 1",0.737080893681,"Stream","1587-03130012010494","",737.080893681,"Zone 1"
"68","FLSS21001-068",150758.778563182,745182.541919837,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Gopher Creek","03140103000737","Zone 1",2.22026545038,"Stream","5358-03140103000737","",2220.26545038,"Zone 1"
"69","FLSS21001-069",199584.97202891,770648.44118506,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140202002372","Zone 1",1.24744128848,"Stream","2923-03140202002372","",1247.44128848,"Zone 1"
"70","FLSS21001-070",350278.732368312,723443.811291618,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Little River","03120003002835","Zone 1",2.02863876051,"Stream","5978-03120003002835","",2028.63876051,"Zone 1"
"71","FLSS21001-071",310560.298683074,714658.13781215,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003000511","Zone 1",1.85171515565,"Stream","362-03120003000511","",1851.71515565,"Zone 1"
"72","FLSS21001-072",83686.4485364095,768587.271492525,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140305000425","Zone 1",1.9081831845,"Stream","107964-03140305000425","",1908.1831845,"Zone 1"
"73","FLSS21001-073",192396.948422573,734377.412915374,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Alaqua Creek","03140102000062","Zone 1",2.09599299816,"Stream","3767-03140102000062","",2095.99299816,"Zone 1"
"74","FLSS21001-074",182891.327822922,743975.565754561,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bear Bay Branch","03140102000411","Zone 1",2.77957287978,"Stream","3970-03140102000411","",2779.57287978,"Zone 1"
"75","FLSS21001-075",193979.494559004,738178.812667077,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Blount Creek","03140102000376","Zone 1",1.19388256243,"Stream","4251-03140102000376","",1193.88256243,"Zone 1"
"76","FLSS21001-076",353753.557586759,692663.097085307,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Lost Creek","03120001000406","Zone 1",9.30090717664,"Stream","6061-03120001000406","",9300.90717664,"Zone 1"
"77","FLSS21001-077",295598.830005204,687262.331441864,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130011002407","Zone 1",0.0876460335246,"Stream","1068-03130011002407","",87.6460335246,"Zone 1"
"78","FLSS21001-078",173287.167399745,727454.161065172,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Hickory Branch","03140102000301","Zone 1",4.57601737528,"Stream","5497-03140102000301","",4576.01737528,"Zone 1"
"79","FLSS21001-079",207879.643988559,699330.795515597,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140101000308","Zone 1",0.661961935702,"Stream","98768-03140101000308","",661.961935702,"Zone 1"
"80","FLSS21001-080",300175.55725774,735437.351620258,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Carpenter Sink Creek","03130011000592","Zone 1",0.635033910893,"Stream","4593-03130011000592","",635.033910893,"Zone 1"
"81","FLSS21001-081",123575.866542046,770323.730946312,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000595","Zone 1",2.70074217867,"Stream","2550-03140104000595","",2700.74217867,"Zone 1"
"82","FLSS21001-082",70691.1940038803,779484.256994608,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140305000379","Zone 1",2.215163324,"Stream","3629-03140305000379","",2215.163324,"Zone 1"
"83","FLSS21001-083",229042.130156942,766002.130627179,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Gully Branch","03140203001086","Zone 1",4.88049052704,"Stream","5393-03140203001086","",4880.49052704,"Zone 1"
"84","FLSS21001-084",307925.848497175,699315.164645358,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Sand Branch","03130011000405","Zone 1",2.41924563851,"Stream","8378-03130011000405","",2419.24563851,"Zone 1"
"85","FLSS21001-085",253053.45238844,712277.839498851,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Dave Branch","03140101000398","Zone 1",2.94567581464,"Stream","4910-03140101000398","Hurricane Michael",2945.67581464,"Zone 1"
"86","FLSS21001-086",184436.386132894,775450.388657389,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Natural Bridge Creek","03140202000828","Zone 1",0.547738318516,"Stream","6361-03140202000828","",547.738318516,"Zone 1"
