"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","EXCLUSION.CATEGORY","DRY",4,3.46275789361344,1.72212893021007,0.0874472136672098,6.83806857355967,762.974935494071,379.449343502437,19.2678882719267,1506.68198271622
"2","Combined","All Basins","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",49,40.9691794374782,3.98298668063547,33.16266899253,48.7756898824265,9027.04087288537,877.600773457607,7306.97496410397,10747.1067816668
"3","Combined","All Basins","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",4,3.96649997552026,1.93261202235253,0.178650015620192,7.75434993542034,873.968136363636,425.826632525784,39.3632729551284,1708.57299977214
"4","Combined","All Basins","EXCLUSION.CATEGORY","SAMPLED",38,33.145783799781,4.52197764868441,24.2828704694645,42.0086971300976,7303.25452529644,996.360620872147,5350.42359277307,9256.08545781982
"5","Combined","All Basins","EXCLUSION.CATEGORY","UNABLE TO ACCESS",19,18.455778893607,3.79304696917653,11.0215434423522,25.8900143448619,4066.49761359684,835.749958716725,2428.45779443122,5704.53743276246
"6","Combined","All Basins","EXCLUSION.CATEGORY","Total",114,100,0,100,100,22033.7360836364,3.32306943888415e-13,22033.7360836364,22033.7360836364
"7","Basin","ZONE 1","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",23,54.7619047619048,6.1733250832061,42.6624099339631,66.8613995898464,6171.32,695.694657045496,4807.78352795388,7534.85647204612
"8","Basin","ZONE 1","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",1,2.38095238095238,1.99949892827284,0,6.29989826749359,268.318260869565,225.330871518786,0,709.958653651408
"9","Basin","ZONE 1","EXCLUSION.CATEGORY","SAMPLED",11,26.1904761904762,6.08493241489817,14.2642278089154,38.1167245720369,2951.50086956522,685.733362891215,1607.4881753009,4295.51356382953
"10","Basin","ZONE 1","EXCLUSION.CATEGORY","UNABLE TO ACCESS",7,16.6666666666667,5.18557978041116,6.50311705810168,26.8302162752317,1878.22782608696,584.382014277728,732.860124889639,3023.59552728427
"11","Basin","ZONE 1","EXCLUSION.CATEGORY","Total",42,100,0,100,100,11269.3669565217,2.66619267666978e-13,11269.3669565217,11269.3669565217
"12","Basin","ZONE 2","EXCLUSION.CATEGORY","DRY",1,6.66666666666667,5.60472118740169,0,17.6517183373625,147.4758,123.984111133352,0,390.480192476582
"13","Basin","ZONE 2","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",8,53.3333333333333,11.8419706930795,30.1234972689187,76.5431693977479,1179.8064,261.960615230768,666.373028779741,1693.23977122026
"14","Basin","ZONE 2","EXCLUSION.CATEGORY","SAMPLED",5,33.3333333333333,11.2333382819611,11.3163948745346,55.3502717921321,737.379,248.496832470425,250.334158085683,1224.42384191432
"15","Basin","ZONE 2","EXCLUSION.CATEGORY","UNABLE TO ACCESS",1,6.66666666666667,5.40632720442592,0,17.2628732759806,147.4758,119.595364430171,0,381.878407001079
"16","Basin","ZONE 2","EXCLUSION.CATEGORY","Total",15,100,0,100,100,2212.137,7.51967749881882e-14,2212.137,2212.137
"17","Basin","ZONE 3","EXCLUSION.CATEGORY","DRY",1,5.26315789473684,4.44558966795214,0,13.9763535339664,192.380739130435,162.496706976339,0,510.868432410417
"18","Basin","ZONE 3","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",4,21.0526315789474,8.33703759283132,4.71233815924148,37.3929249986533,769.522956521739,304.738236310751,172.246988640411,1366.79892440307
"19","Basin","ZONE 3","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",1,5.26315789473684,4.44330700600486,0,13.9718795987609,192.380739130435,162.413270339744,0,510.704899607701
"20","Basin","ZONE 3","EXCLUSION.CATEGORY","SAMPLED",7,36.8421052631579,10.3106194600708,16.6336624631214,57.0505480631944,1346.66517391304,376.877272598001,607.999293029277,2085.33105479681
"21","Basin","ZONE 3","EXCLUSION.CATEGORY","UNABLE TO ACCESS",6,31.5789473684211,9.59658657918884,12.7699832986905,50.3879114381516,1154.28443478261,350.777699654376,466.772776880223,1841.79609268499
"22","Basin","ZONE 3","EXCLUSION.CATEGORY","Total",19,100,0,100,100,3655.23404347826,1.0247593068766e-13,3655.23404347826,3655.23404347826
"23","Basin","ZONE 4","EXCLUSION.CATEGORY","DRY",1,10,8.29917248334892,0,26.2660791688497,382.845636363636,317.73019706793,0,1005.58537941759
"24","Basin","ZONE 4","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",1,10,9.0093593914348,0,27.6580199309899,382.845636363636,344.919392944256,0,1058.8752241038
"25","Basin","ZONE 4","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",1,10,8.40185372858135,0,26.467330711393,382.845636363636,321.661303735292,0,1013.29020690501
"26","Basin","ZONE 4","EXCLUSION.CATEGORY","SAMPLED",5,50,14.6178910851705,21.3494599431366,78.6505400568634,1914.22818181818,559.639581479644,817.354757795011,3011.10160584135
"27","Basin","ZONE 4","EXCLUSION.CATEGORY","UNABLE TO ACCESS",2,20,12.1326680832452,0,43.7795924795391,765.691272727273,464.493903311877,0,1676.08259425698
"28","Basin","ZONE 4","EXCLUSION.CATEGORY","Total",10,100,0,100,100,3828.45636363636,1.50393549976376e-13,3828.45636363636,3828.45636363636
"29","Basin","ZONE 5","EXCLUSION.CATEGORY","DRY",1,4.54545454545455,3.9937704819616,0,12.3731008526185,40.27276,35.3848352253273,0,109.625762640526
"30","Basin","ZONE 5","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",13,59.0909090909091,8.54656589069186,42.3399477536546,75.8418704281636,523.54588,75.7226353268043,375.132241945003,671.959518054997
"31","Basin","ZONE 5","EXCLUSION.CATEGORY","SAMPLED",5,22.7272727272727,7.82807980361197,7.38451824408789,38.0700272104576,201.3638,69.3568434221767,65.42688481115,337.30071518885
"32","Basin","ZONE 5","EXCLUSION.CATEGORY","UNABLE TO ACCESS",3,13.6363636363636,7.02410439677557,0,27.4033552776932,120.81828,62.2336155289832,0,242.79392506452
"33","Basin","ZONE 5","EXCLUSION.CATEGORY","Total",22,100,0,100,100,886.00072,2.24693341988909e-14,886.00072,886.00072
"34","Basin","ZONE 6","EXCLUSION.CATEGORY","OTHERWISE UNSAMPLEABLE",1,16.6666666666667,14.5997898288265,0,45.2817289130209,30.4235,26.6506023514382,0,82.6577207751174
"35","Basin","ZONE 6","EXCLUSION.CATEGORY","SAMPLED",5,83.3333333333333,14.5997898288265,54.7182710869791,100,152.1175,26.6506023514382,99.8832792248826,204.351720775117
"36","Basin","ZONE 6","EXCLUSION.CATEGORY","Total",6,100,0,100,100,182.541,7.94410929039127e-15,182.541,182.541
