"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","FK_SAMPLE","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","MATRIX_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Calcium_Total","Calcium_Total_VQ","Sodium_Total","Sodium_Total_VQ","Barium_Total","Barium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Copper_Total","Copper_Total_VQ","Lead_Total","Lead_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Sample_Depth","Sample_Depth_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Water_Level","Water_Level_VQ","Stream_Flow_Qualitative","Stream_Flow_Qualitative_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Potassium_Total","Potassium_Total_VQ","Antimony_Total","Antimony_Total_VQ","Thallium_Total","Thallium_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Iron_Total","Iron_Total_VQ","Silver_Total","Silver_Total_VQ","Nickel_Total","Nickel_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Chromium_Total","Chromium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Zinc_Total","Zinc_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Sulfate_Total","Sulfate_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Fluoride_Total","Fluoride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Color_true","Color_true_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Weather","Weather_VQ","Salinity_ppt","Salinity_ppt_VQ","Orthophosphate_Dissolved_as_P","Orthophosphate_Dissolved_as_P_VQ"
"1",58024,"Z1-SS-14001","Z1SS2007-1",2020-07-13 14:50:00,"PRIMARY","WATER",NA,1,NA,0.65,"U",15,"U",0.9,"U",0.6,"U",0.17,"I",1.4,"I",6,NA,0.2,"U",0.4,"U",0.2,"U",0.3,NA,3.9,NA,20,NA,8.41,NA,99,NA,23.51,NA,0.1,NA,0.1,"S",0.05,NA,NA,NA,NA,NA,NA,NA,0.82,"U",87.4,"AQ",0.3,"U",0.05,"U",0.1,"U",0.012,"I",1.7,NA,30,"U",0.01,"U",0.5,"U",49,NA,0.05,"U",0.4,"U",3.6,"I",5,"U",0.02,"U",0.15,"U",0.53,NA,0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.77,"I",7,NA,14,NA,0.21,NA,2.4,NA,NA,NA,NA,NA,NA,NA
"2",58025,"Z1-SS-14002","Z1SS2007-7",2020-07-30 12:15:00,"PRIMARY","WATER",NA,4,NA,0.65,"U",16,"I",0.9,"U",0.92,"I",0.8,NA,1.7,"I",21.9,NA,0.2,"U",0.4,"U",0.28,"I",0.45,NA,3.94,NA,22,NA,7.31,NA,87,NA,24.06,NA,1.5,NA,1.5,"S",0.3,NA,NA,NA,NA,NA,NA,NA,0.82,"U",74.8,"AQ",0.3,"U",0.05,"U",0.1,"U",0.106,NA,3.8,NA,440,NA,0.01,"U",0.5,"U",272,NA,0.23,NA,0.4,"U",27.4,NA,5,"U",0.02,"U",0.15,"U",1,NA,0.007,NA,0.035,"U",6,"I",0.26,NA,0.004,"I",7.7,NA,54,NA,22,NA,0.04,NA,3.1,NA,NA,NA,NA,NA,NA,NA
"3",58025,"Z1-SS-14002","Z1SS2007-8",2020-07-30 12:20:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,22,NA,7.34,NA,87.3,NA,24.07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",58026,"Z1-SS-14005","Z1SS2007-9",2020-07-30 15:05:00,"PRIMARY","WATER",NA,13,"A",8,NA,33,NA,2.2,"U",5,NA,3.54,NA,2.9,NA,17.8,NA,0.2,"U",0.4,"U",0.27,"I",0.85,NA,5.69,NA,37,NA,7.48,NA,93,NA,26.52,NA,0.4,NA,0.4,"S",0.2,NA,NA,NA,NA,NA,NA,NA,5.1,"I",648.8,"Q",0.7,"I",0.05,"U",0.1,"U",0.013,"I",12.4,NA,1240,NA,0.01,"U",0.5,"U",353,NA,0.55,NA,0.47,"I",45.2,NA,5,"U",0.02,"U",0.15,"U",0.96,NA,0.012,NA,0.035,"U",5,"I",0.28,NA,0.012,NA,6.2,NA,72,NA,40,NA,0.096,NA,4,NA,NA,NA,NA,NA,NA,NA
"5",58027,"Z1-SS-14007","Z1SS2007-2",2020-07-16 09:45:00,"PRIMARY","WATER",NA,3,"A",0.65,"U",17,"I",3,"U",3.9,"I",0.53,NA,1.1,"I",9.9,NA,0.2,"U",0.4,"U",0.2,"U",0.38,NA,4.02,NA,28,NA,3.22,NA,38.8,NA,24.72,NA,0.1,NA,0.1,"S",0.05,NA,NA,NA,NA,NA,NA,NA,3.5,"I",155.2,"AQ",0.3,"U",0.05,"U",0.1,"U",0.021,"I",2.9,NA,1800,NA,0.01,"U",0.58,"I",310,NA,0.32,NA,0.4,"U",56.1,NA,5,"U",0.02,"U",0.15,"U",0.2,"U",0.014,NA,0.035,"U",6,"I",0.58,NA,0.019,NA,15,NA,110,NA,26,NA,0.004,"U",3,NA,NA,NA,NA,NA,NA,NA
"6",58028,"Z1-SS-14010","Z1SS2007-10",2020-08-06 14:15:00,"PRIMARY","WATER",NA,9.2,NA,8.1,NA,42,NA,1.8,"U",1.2,"U",3.53,NA,2.4,NA,17.3,NA,0.2,"U",0.4,"U",0.32,"I",0.93,NA,5.58,NA,38,NA,8.56,NA,105.2,NA,25.8,NA,0.3,NA,0.3,"S",0.2,NA,NA,NA,NA,NA,NA,NA,1.6,"U",579.4,"Q",0.54,"I",0.05,"U",0.1,"U",0.035,"I",12.6,NA,1530,NA,0.01,"U",0.5,"U",267,NA,0.82,NA,0.66,"I",20.4,NA,5,"U",0.02,"U",0.23,"I",1.2,"A",0.019,NA,0.035,"U",6,"I",0.26,NA,0.024,NA,5.6,NA,81,NA,38,NA,0.011,NA,4,"A",NA,NA,NA,NA,NA,NA
"7",58029,"Z1-SS-14023","Z1SS2007-6",2020-07-29 13:40:00,"PRIMARY","WATER",NA,3.9,NA,1.3,"I",46,NA,15,"I",60,NA,1.54,NA,2.6,NA,24.1,NA,0.2,"U",1.16,NA,0.61,NA,0.74,NA,4.2,NA,35,NA,0.84,NA,10.5,NA,25.97,NA,0.7,NA,0.7,"S",0.3,NA,NA,NA,NA,NA,NA,NA,50,NA,307.6,"AQ",0.91,"I",0.05,"U",0.1,"U",0.024,"I",6.9,NA,4180,NA,0.01,"U",0.61,"I",451,NA,3.41,NA,1.1,"I",90.8,NA,5.6,"I",0.02,"U",0.15,"U",0.26,"I",0.035,NA,0.035,"U",21,NA,1,NA,0.046,NA,21,NA,96,NA,32,NA,0.004,"U",5.2,NA,NA,NA,NA,NA,NA,NA
"8",58030,"Z1-SS-14024","Z1SS2007-3",2020-07-27 11:25:00,"PRIMARY","WATER",NA,22,NA,22,NA,67,NA,1,"U",2.4,NA,6.53,NA,6.5,NA,26.7,NA,0.2,"U",0.88,NA,0.57,NA,2.92,NA,6.73,NA,86,NA,6.99,NA,87,NA,26.53,NA,1.8,NA,0.5,NA,0.3,NA,NA,NA,NA,NA,NA,NA,2,"I",407,"AQ",1.2,"I",0.05,"U",0.1,"U",0.034,"I",28.3,NA,1750,NA,0.01,"U",0.5,"U",665,NA,1.05,NA,0.96,"I",49,NA,5,"U",0.02,"U",0.29,"I",1.8,NA,0.12,NA,0.11,NA,18,NA,0.66,NA,0.023,NA,7.1,NA,49,"A",86,NA,1.7,NA,6.3,NA,NA,NA,NA,NA,NA,NA
"9",58030,"Z1-SS-14024","Z1SS2007-4",2020-07-27 11:30:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,NA,87,NA,6.97,NA,86.7,NA,26.53,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",58031,"Z1-SS-14029","Z1SS2007-12",2020-08-26 14:06:00,"PRIMARY","WATER",NA,0.6,NA,0.89,"I",17,"I",0.9,"U",0.6,"U",0.38,NA,1.7,"I",10.8,NA,0.2,"U",0.4,"U",0.2,"U",0.43,NA,4.41,NA,14,NA,8.33,NA,100.1,NA,24.58,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,0.82,"U",77.6,"Q",0.3,"U",0.05,"U",0.1,"U",0.016,"I",2.7,NA,65,"I",0.01,"U",0.5,"U",42,NA,0.05,"U",0.4,"U",2.9,"I",5,"U",0.02,"U",0.15,"U",0.95,NA,0.002,"U",0.035,"U",2,"U",0.08,"U",0.003,"I",1.3,NA,11,NA,16,NA,0.12,NA,2.6,NA,NA,NA,NA,NA,NA,NA
