"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012","REPORTING_CYCLE","TN_NNC","TP_NNC","DO_Conc"
"1","Z1-SS-14001","FLSS20001-001",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303552.75911,863443.46358,3140102,"CHOCTAWHATCHEE BAY","Y",NA,NA,2020-07-13,NA,"O","HPGN","Z1SS2007",58024,303552.808,863443.173,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"2","Z1-SS-14002","FLSS20001-002",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305346.97786,864926.50927,3140104,"BLACKWATER","Y",NA,NA,2020-07-30,NA,"O","HPGN","Z1SS2007",58025,305345.857,864926.968,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"3","Z1-SS-14003","FLSS20001-003",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303309.28045,860449.54973,3140102,"CHOCTAWHATCHEE BAY","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"4","Z1-SS-14004","FLSS20001-004",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303705.85195,845818.13897,3130011,"APALACHICOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"5","Z1-SS-14005","FLSS20001-005",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304917.62037,863538.47783,3140103,"YELLOW","Y",NA,NA,2020-07-30,NA,"O","HPGN","Z1SS2007",58026,304918.26,863537.667,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"6","Z1-SS-14006","FLSS20001-006",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305017.36429,872452.02795,3140305,"ESCAMBIA","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"7","Z1-SS-14007","FLSS20001-007",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305938.63953,853248.65791,3140203,"LOWER CHOCTAWHATCHEE","Y",NA,NA,2020-07-16,NA,"O","HPGN","Z1SS2007",58027,305939.261,853248.677,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"8","Z1-SS-14008","FLSS20001-008",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302618.06427,842218.24884,3120001,"APALACHEE BAY-ST. MARKS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"9","Z1-SS-14009","FLSS20001-009",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305208.47198,861640.23991,3140103,"YELLOW","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"10","Z1-SS-14010","FLSS20001-010",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303811.48721,860109.80847,3140203,"LOWER CHOCTAWHATCHEE","Y",NA,NA,2020-08-06,NA,"O","HPGN","Z1SS2007",58028,303811.299,860109.648,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
